"financial_statement_heading_id/id","nro_rubro","name","is_total","code_sunat","is_title","title"
"02","13","Intereses pagados (no incluidos en la Actividad de Financiación)","False","3D0107","False",""
"02","14","Dividendos Recibidos (no incluidos en la Actividad de Inversión)","False","3D0111","False",""
"02","15","Dividendos pagados(no incluidos en la Actividad de Financiación)","False","3D0116","False",""
"02","16","Impuestos a las ganancias (pagados) reembolsados","False","3D0120","False",""
"02","17","Otros cobros (pagos) de efectivo","False","3D0122","False",""
"02","18","Flujos de Efectivo y Equivalente al Efectivo Procedente de (Utilizados en) Actividades de Operación","False","3D01ST","False",""
"02","19","Reembolso de Adelantos de Prestamos y Préstamos Concedidos a Terceros","False","3D0220","False",""
"02","20","Pérdida de control de subsidiarias u otros negocios","False","3D0218","False",""
"02","21","Reembolsos recibidos de préstamos a entidades relacionadas","False","3D0209","False",""
"02","22","Venta de  Instrumentos Financieros de Patrimonio o Deuda de Otras Entidades","False","3D0201","False",""
"02","23","Contratos Derivados (futuro, a término, opciones)","False","3D0221","False",""
"02","24","Venta  de Participaciones en Negocios Conjuntos, Neto del Efectivo Desapropiado","False","3D0222","False",""
"02","25","Venta de Propiedades, Planta y Equipo","False","3D0202","False",""
"02","26","Venta de Activos Intangibles","False","3D0203","False",""
"02","27","Venta de Otros Activos de largo plazo","False","3D0223","False",""
"02","28","Subvenciones del gobierno","False","3D0231","False",""
"02","29","Intereses Recibidos","False","3D0210","False",""
"02","30","Dividendos Recibidos","False","3D0211","False",""
"02","31","Anticipos y Prestamos Concedidos a Terceros","False","3D0225","False",""
"02","32","Obtener el control de subsidiarias u otros negocios","False","3D0232","False",""
"02","33","Prestamos concedidos a entidades relacionadas","False","3D0212","False",""
"02","34","Compra de Instrumentos Financieros de Patrimonio o Deuda de Otras Entidades","False","3D0205","False",""
"02","35","Contratos Derivados (futuro, a término, opciones)","False","3D0226","False",""
"02","36","Compra de Subsidiarias, Neto del Efectivo Adquirido","False","3D0219","False",""
"02","37","Compra de Participaciones en Negocios Conjuntos,  Neto del Efectivo Adquirido","False","3D0227","False",""
"02","38","Compra de Propiedades, Planta  y Equipo","False","3D0206","False",""
"02","39","Compra de Activos Intangibles ","False","3D0207","False",""
"02","40","Compra de Otros Activos de largo plazo","False","3D0229","False",""
"02","41","Impuestos a las ganancias (pagados) reembolsados","False","3D0233","False",""
"02","42","Otros cobros (pagos) de efectivo relativos a la actividad de inversión    ","False","3D0234","False",""
"02","43","Flujos de Efectivo y Equivalente al Efectivo Procedente de (Utilizados en) Actividades de Inversión","False","3D02ST","False",""
"02","44","Obtención de Préstamos ","False","3D0325","False",""
"02","45","Préstamos de entidades relacionadas","False","3D0319","False",""
"02","46","Cambios en las participaciones en la propiedad de subsidiarias que no resultan en pérdida de control","False","3D0326","False",""
"02","47","Emisión de Acciones ","False","3D0327","False",""
"02","48","Emisión de  Otros Instrumentos de Patrimonio ","False","3D0328","False",""
"02","49","Subvenciones del gobierno","False","3D0329","False",""
